,random_scm-Abalone_data,samba-Abalone_data,scm-Abalone_data,decision_tree-Abalone_data,adaboost-Abalone_data,random_forest-Abalone_data
Train,0.7563856960408685,0.7717113665389528,0.7570242656449553,0.8247126436781609,0.834610472541507,0.8349297573435505
Test,0.7444976076555024,0.7741626794258373,0.7741626794258373,0.7808612440191387,0.7990430622009569,0.8038277511961722
