,Model Name,Noise level,Split,Train acc,Test acc,n_estimators
0,NeighborHoodClassifier,0.01,0,0.83,0.828,6
1,AdaBoostClassifier,0.01,0,0.99,0.992,10
2,NeighborHoodClassifier,0.01,1,0.886,0.902,6
3,AdaBoostClassifier,0.01,1,0.976,0.988,8
4,NeighborHoodClassifier,0.01,2,0.86,0.896,6
5,AdaBoostClassifier,0.01,2,0.984,0.992,6
6,NeighborHoodClassifier,0.01,3,0.896,0.888,2
7,AdaBoostClassifier,0.01,3,0.954,0.958,9
8,NeighborHoodClassifier,0.01,4,0.828,0.828,4
9,AdaBoostClassifier,0.01,4,0.98,0.988,8
10,NeighborHoodClassifier,0.02,0,0.9,0.922,4
11,AdaBoostClassifier,0.02,0,0.96,0.972,9
12,NeighborHoodClassifier,0.02,1,0.886,0.912,6
13,AdaBoostClassifier,0.02,1,0.966,0.982,10
14,NeighborHoodClassifier,0.02,2,0.82,0.836,10
15,AdaBoostClassifier,0.02,2,0.956,0.972,8
16,NeighborHoodClassifier,0.02,3,0.892,0.9,2
17,AdaBoostClassifier,0.02,3,0.97,0.978,8
18,NeighborHoodClassifier,0.02,4,0.878,0.904,4
19,AdaBoostClassifier,0.02,4,0.974,0.974,10
20,NeighborHoodClassifier,0.03,0,0.89,0.92,9
21,AdaBoostClassifier,0.03,0,0.952,0.99,9
22,NeighborHoodClassifier,0.03,1,0.908,0.884,10
23,AdaBoostClassifier,0.03,1,0.94,0.918,8
24,NeighborHoodClassifier,0.03,2,0.898,0.912,9
25,AdaBoostClassifier,0.03,2,0.972,0.994,10
26,NeighborHoodClassifier,0.03,3,0.886,0.878,4
27,AdaBoostClassifier,0.03,3,0.938,0.942,10
28,NeighborHoodClassifier,0.03,4,0.896,0.9,4
29,AdaBoostClassifier,0.03,4,0.972,0.988,9
30,NeighborHoodClassifier,0.04,0,0.89,0.908,4
31,AdaBoostClassifier,0.04,0,0.932,0.976,10
32,NeighborHoodClassifier,0.04,1,0.866,0.918,4
33,AdaBoostClassifier,0.04,1,0.956,0.98,8
34,NeighborHoodClassifier,0.04,2,0.888,0.906,4
35,AdaBoostClassifier,0.04,2,0.944,0.956,10
36,NeighborHoodClassifier,0.04,3,0.896,0.896,9
37,AdaBoostClassifier,0.04,3,0.942,0.97,9
38,NeighborHoodClassifier,0.04,4,0.868,0.91,2
39,AdaBoostClassifier,0.04,4,0.946,0.98,9
40,NeighborHoodClassifier,0.05,0,0.83,0.824,2
41,AdaBoostClassifier,0.05,0,0.934,0.964,9
42,NeighborHoodClassifier,0.05,1,0.89,0.882,2
43,AdaBoostClassifier,0.05,1,0.938,0.968,10
44,NeighborHoodClassifier,0.05,2,0.874,0.868,2
45,AdaBoostClassifier,0.05,2,0.938,0.956,8
46,NeighborHoodClassifier,0.05,3,0.876,0.914,4
47,AdaBoostClassifier,0.05,3,0.91,0.934,10
48,NeighborHoodClassifier,0.05,4,0.876,0.892,2
49,AdaBoostClassifier,0.05,4,0.94,0.962,10
50,NeighborHoodClassifier,0.1,0,0.83,0.896,6
51,AdaBoostClassifier,0.1,0,0.894,0.982,7
52,NeighborHoodClassifier,0.1,1,0.834,0.91,4
53,AdaBoostClassifier,0.1,1,0.886,0.966,7
54,NeighborHoodClassifier,0.1,2,0.824,0.9,10
55,AdaBoostClassifier,0.1,2,0.86,0.95,10
56,NeighborHoodClassifier,0.1,3,0.826,0.908,6
57,AdaBoostClassifier,0.1,3,0.872,0.968,10
58,NeighborHoodClassifier,0.1,4,0.812,0.904,6
59,AdaBoostClassifier,0.1,4,0.896,0.974,10
60,NeighborHoodClassifier,0.15,0,0.824,0.912,10
61,AdaBoostClassifier,0.15,0,0.824,0.912,10
62,NeighborHoodClassifier,0.15,1,0.748,0.848,8
63,AdaBoostClassifier,0.15,1,0.832,0.974,9
64,NeighborHoodClassifier,0.15,2,0.796,0.864,10
65,AdaBoostClassifier,0.15,2,0.83,0.896,9
66,NeighborHoodClassifier,0.15,3,0.778,0.808,8
67,AdaBoostClassifier,0.15,3,0.804,0.862,3
68,NeighborHoodClassifier,0.15,4,0.794,0.884,10
69,AdaBoostClassifier,0.15,4,0.834,0.95,10
70,NeighborHoodClassifier,0.2,0,0.706,0.796,8
71,AdaBoostClassifier,0.2,0,0.804,0.986,8
72,NeighborHoodClassifier,0.2,1,0.702,0.774,1
73,AdaBoostClassifier,0.2,1,0.8,0.994,9
74,NeighborHoodClassifier,0.2,2,0.716,0.824,1
75,AdaBoostClassifier,0.2,2,0.762,0.918,9
76,NeighborHoodClassifier,0.2,3,0.738,0.81,1
77,AdaBoostClassifier,0.2,3,0.778,0.9,3
78,NeighborHoodClassifier,0.2,4,0.718,0.798,1
79,AdaBoostClassifier,0.2,4,0.754,0.882,7
80,NeighborHoodClassifier,0.25,0,0.704,0.826,1
81,AdaBoostClassifier,0.25,0,0.748,0.946,6
82,NeighborHoodClassifier,0.25,1,0.678,0.8,1
83,AdaBoostClassifier,0.25,1,0.756,0.972,10
84,NeighborHoodClassifier,0.25,2,0.688,0.846,1
85,AdaBoostClassifier,0.25,2,0.728,0.91,8
86,NeighborHoodClassifier,0.25,3,0.692,0.832,1
87,AdaBoostClassifier,0.25,3,0.74,0.89,10
88,NeighborHoodClassifier,0.25,4,0.704,0.826,1
89,AdaBoostClassifier,0.25,4,0.732,0.902,4
90,NeighborHoodClassifier,0.3,0,0.62,0.806,1
91,AdaBoostClassifier,0.3,0,0.696,0.938,6
92,NeighborHoodClassifier,0.3,1,0.652,0.828,1
93,AdaBoostClassifier,0.3,1,0.682,0.922,4
94,NeighborHoodClassifier,0.3,2,0.634,0.772,1
95,AdaBoostClassifier,0.3,2,0.714,0.962,10
96,NeighborHoodClassifier,0.3,3,0.624,0.72,1
97,AdaBoostClassifier,0.3,3,0.674,0.874,7
98,NeighborHoodClassifier,0.3,4,0.658,0.83,1
99,AdaBoostClassifier,0.3,4,0.704,0.92,10
100,NeighborHoodClassifier,0.4,0,0.586,0.846,1
101,AdaBoostClassifier,0.4,0,0.586,0.888,3
102,NeighborHoodClassifier,0.4,1,0.6,0.682,1
103,AdaBoostClassifier,0.4,1,0.622,0.65,7
104,NeighborHoodClassifier,0.4,2,0.594,0.802,1
105,AdaBoostClassifier,0.4,2,0.594,0.802,1
106,NeighborHoodClassifier,0.4,3,0.604,0.812,1
107,AdaBoostClassifier,0.4,3,0.604,0.812,1
108,NeighborHoodClassifier,0.4,4,0.59,0.822,1
109,AdaBoostClassifier,0.4,4,0.608,0.708,8
110,NeighborHoodClassifier,0.5,0,0.482,0.528,4
111,AdaBoostClassifier,0.5,0,0.584,0.534,6
112,NeighborHoodClassifier,0.5,1,0.51,0.53,1
113,AdaBoostClassifier,0.5,1,0.596,0.6,9
114,NeighborHoodClassifier,0.5,2,0.524,0.482,1
115,AdaBoostClassifier,0.5,2,0.578,0.652,9
116,NeighborHoodClassifier,0.5,3,0.524,0.464,2
117,AdaBoostClassifier,0.5,3,0.54,0.608,2
118,NeighborHoodClassifier,0.5,4,0.526,0.484,2
119,AdaBoostClassifier,0.5,4,0.61,0.592,8
