,Model Name,Noise level,Accuracy,STD,Set
0,NeighborHoodClassifier,0.01,0.708,0.01614930339054906,Train
1,NeighborHoodClassifier,0.01,0.6836,0.021181123671797933,Test
2,AdaBoostClassifier,0.01,0.7596,0.08115565291463066,Train
3,AdaBoostClassifier,0.01,0.7216,0.05154260373710276,Test
4,NeighborHoodClassifier,0.02,0.6888,0.013599999999999968,Train
5,NeighborHoodClassifier,0.02,0.6915999999999999,0.01098362417419675,Test
6,AdaBoostClassifier,0.02,0.7364,0.02546841180757059,Train
7,AdaBoostClassifier,0.02,0.6808,0.03273163607276603,Test
8,NeighborHoodClassifier,0.03,0.688,0.015231546211727787,Train
9,NeighborHoodClassifier,0.03,0.6916,0.011271202242884264,Test
10,AdaBoostClassifier,0.03,0.7243999999999999,0.03297028965599183,Train
11,AdaBoostClassifier,0.03,0.7,0.018198901065723697,Test
12,NeighborHoodClassifier,0.04,0.6956,0.016169106345126156,Train
13,NeighborHoodClassifier,0.04,0.6916,0.00852291030106497,Test
14,AdaBoostClassifier,0.04,0.7299999999999999,0.03249615361854387,Train
15,AdaBoostClassifier,0.04,0.692,0.038366652186501746,Test
16,NeighborHoodClassifier,0.05,0.6920000000000001,0.02558124312851114,Train
17,NeighborHoodClassifier,0.05,0.6792,0.02254240448576857,Test
18,AdaBoostClassifier,0.05,0.7024,0.01981514572240132,Train
19,AdaBoostClassifier,0.05,0.6811999999999999,0.028498421008890978,Test
20,NeighborHoodClassifier,0.1,0.6584000000000001,0.012986146464598353,Train
21,NeighborHoodClassifier,0.1,0.6936,0.012547509713086456,Test
22,AdaBoostClassifier,0.1,0.712,0.03410571799566752,Train
23,AdaBoostClassifier,0.1,0.6839999999999999,0.024851559307214475,Test
24,NeighborHoodClassifier,0.15,0.6315999999999999,0.015460918472070165,Train
25,NeighborHoodClassifier,0.15,0.6764,0.008138795979750297,Test
26,AdaBoostClassifier,0.15,0.6916,0.024767720928660336,Train
27,AdaBoostClassifier,0.15,0.6759999999999999,0.014198591479439067,Test
28,NeighborHoodClassifier,0.2,0.6556,0.04472851439518196,Train
29,NeighborHoodClassifier,0.2,0.7188,0.059727380655776284,Test
30,AdaBoostClassifier,0.2,0.6444,0.011271202242884306,Train
31,AdaBoostClassifier,0.2,0.6728,0.017508854902591398,Test
32,NeighborHoodClassifier,0.25,0.6204000000000001,0.010150862032359624,Train
33,NeighborHoodClassifier,0.25,0.6688,0.024119701490690117,Test
34,AdaBoostClassifier,0.25,0.6444,0.02852086955196141,Train
35,AdaBoostClassifier,0.25,0.6824000000000001,0.047453556241866625,Test
36,NeighborHoodClassifier,0.3,0.604,0.022018174311236635,Train
37,NeighborHoodClassifier,0.3,0.658,0.021872356983187725,Test
38,AdaBoostClassifier,0.3,0.6244,0.0252158680199592,Train
39,AdaBoostClassifier,0.3,0.632,0.034058772731852836,Test
40,NeighborHoodClassifier,0.35,0.5731999999999999,0.017278888853164125,Train
41,NeighborHoodClassifier,0.35,0.5575999999999999,0.03578603079415205,Test
42,AdaBoostClassifier,0.35,0.6112,0.03814918085621237,Train
43,AdaBoostClassifier,0.35,0.5631999999999999,0.01759999999999997,Test
44,NeighborHoodClassifier,0.4,0.5636,0.010384603988597694,Train
45,NeighborHoodClassifier,0.4,0.5296000000000001,0.03524542523505709,Test
46,AdaBoostClassifier,0.4,0.5892,0.04142656152759967,Train
47,AdaBoostClassifier,0.4,0.5479999999999999,0.034455768747772834,Test
48,NeighborHoodClassifier,0.45,0.5512,0.012560254774486048,Train
49,NeighborHoodClassifier,0.45,0.5052,0.009846826900072946,Test
50,AdaBoostClassifier,0.45,0.592,0.04579956331669549,Train
51,AdaBoostClassifier,0.45,0.5004,0.013047605144240084,Test
52,NeighborHoodClassifier,0.46,0.5568,0.02801713761253991,Train
53,NeighborHoodClassifier,0.46,0.48840000000000006,0.02037253052519495,Test
54,AdaBoostClassifier,0.46,0.6275999999999999,0.027405109012737048,Train
55,AdaBoostClassifier,0.46,0.4944,0.010983624174196793,Test
56,NeighborHoodClassifier,0.47,0.5536,0.023644026729810613,Train
57,NeighborHoodClassifier,0.47,0.5432,0.06436893660765262,Test
58,AdaBoostClassifier,0.47,0.5896,0.02064558064090232,Train
59,AdaBoostClassifier,0.47,0.5272,0.03400235285976543,Test
60,NeighborHoodClassifier,0.48,0.5624,0.02170345594600083,Train
61,NeighborHoodClassifier,0.48,0.48760000000000003,0.02048999755978511,Test
62,AdaBoostClassifier,0.48,0.6235999999999999,0.03860362677262335,Train
63,AdaBoostClassifier,0.48,0.52,0.03557527231097467,Test
64,NeighborHoodClassifier,0.49,0.56,0.026168683574073776,Train
65,NeighborHoodClassifier,0.49,0.49240000000000006,0.03462715697252664,Test
66,AdaBoostClassifier,0.49,0.614,0.04154996991575326,Train
67,AdaBoostClassifier,0.49,0.5147999999999999,0.05346550289672771,Test
